version,buffer_bounds,img_augment,distance_mode,log_dist,num_1_factor,num_1_point95,norm_from_train,val_frac,val_metric,model_name,accept_midinput,MDL_Unet++_decoder_attention_type,MDL_Unet++_encoder_name,batch_size,loss,LS_focal_alpha,lr,scheduler,LR_StepLR_step_size,LR_StepLR_gamma,LR_CosineAnnealingWarmRestarts_T_0,LR_Warmup_milestone,LR_CosineAnnealingLR_T_max,LR_CosineAnnealingLR_eta_min,optimizer,OPT_AdamW_weight_decay,max_epochs,early_stop_patience,version_run,test-set,trainings_per_test,eval_conn_version
0,"(2,3)",False,rank,False,2.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[0],1,
1,"(2,3)",False,absolute,True,2.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1,
2,"(2,3)",False,absolute,True,2.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[0],1,
3,"(2,3)",False,rank,True,2.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[21],1,
4,"(2,3)",False,absolute,True,2.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[22],1,
5,"(2,3)",False,absolute,True,2.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[24],1,
6,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 22, 23, 24]",1,
7,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,focal,0.25,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[7],1,
8,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,focal,0.75,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[7],1,
9,"(2,3)",False,absolute,True,10.0,20,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[10],1,
10,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[10],10,
11,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[26],1,
12,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[25],1,
13,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[27],1,
14,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,"[28, 29, 30]",1,
15,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,"[31, 34]",1,
16,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,"[35, 36]",1,
17,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[38],1,
18,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[39],1,
19,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[37],1,
20,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,[37],20,20
21,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,10,0.9,,,,,AdamW,0.1,200,20,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 40]",1,21
22,"(2,3)",False,absolute,True,10.0,10,False,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,50,0.9,,,,,AdamW,0.1,200,40,True,[10],1,21
23,"(2,3)",False,absolute,True,25.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,"[42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]",1,23
24,"(2,3)",False,absolute,True,25.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
25,"(2,3)",False,absolute,True,,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
26,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
27,"(2,3)",False,absolute,True,0.5,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
28,"(2,3)",False,absolute,True,1.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
29,"(2,3)",False,absolute,True,5.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
30,"(2,3)",False,absolute,True,10.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
31,"(2,3)",False,absolute,True,15.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
32,"(2,3)",False,absolute,True,20.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
33,"(2,3)",False,absolute,True,25.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
34,"(2,3)",False,absolute,True,30.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
35,"(2,3)",False,absolute,True,35.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
36,"(2,3)",False,absolute,True,0.1,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
37,"(0,1)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
38,"(1,2)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
39,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
40,"(3,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
41,"(4,5)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
42,"(0,2)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
43,"(1,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
44,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
45,"(3,5)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
46,"(0,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
47,"(1,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
48,"(2,5)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
49,,False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,False,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
50,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
51,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
52,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,FPN,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
53,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,PSPNet,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
54,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,DeepLabV3,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
55,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,DeepLabV3+,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
56,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Linknet,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
57,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,MAnet,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
58,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,UPerNet,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
59,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Segformer,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
60,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
61,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
62,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,PSPNet,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
63,"(2,3)",False,absolute,True,,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
64,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
65,"(2,3)",False,absolute,True,1.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
66,"(2,3)",False,absolute,True,10.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
67,"(2,3)",False,absolute,True,20.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
68,"(2,3)",False,absolute,True,30.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
69,"(1,2)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
70,"(3,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
71,"(0,2)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
72,"(1,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
73,"(1,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
74,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,False,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
75,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
76,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Linknet,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
77,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,DeepLabV3+,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
78,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,MAnet,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
79,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Segformer,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
80,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,PSPNet,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
81,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet50,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
82,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnext50_32x4d,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
83,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,vgg19_bn,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
84,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,densenet201,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
85,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,efficientnet-b4,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
86,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
87,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0005,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
88,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,5e-05,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
89,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,1e-05,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
90,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts_Warmup,,,10,10,,,AdamW,0.1,200,30,True,[49],20,23
91,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,5,0.5,,,,,AdamW,0.1,200,20,True,[49],20,23
92,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR_Warmup,5,0.5,,10,,,AdamW,0.1,200,30,True,[49],20,23
93,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingLR,,,,,50,1e-06,AdamW,0.1,200,20,True,[49],20,23
94,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingLR_Warmup,,,,10,50,1e-06,AdamW,0.1,200,30,True,[49],20,23
95,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,,,,,,,,AdamW,0.1,200,20,True,[49],20,23
96,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,bce,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
97,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,focal,0.25,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
98,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,focal,0.75,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
99,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.01,200,20,True,[49],20,23
100,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.5,200,20,True,[49],20,23
101,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,Adam,,200,20,True,[49],20,23
